,query,filename
0,What was the original purpose of the monastery on the site before the 11th century?,android_dyn_experiment_frames/avs_v_vs.csv
1,What type of architectural style was the abbey built in?,android_dyn_experiment_frames/avs_v_vs.csv
2,"What significant event took place on 6 July 1920 at the King's Buildings campus, and which department did the first new building house?",android_dyn_experiment_frames/avs_v_vs.csv
3,- 1. The Wedgwood family relocated to Down House after what event?,android_dyn_experiment_frames/avs_v_vs.csv
4,How many years did it take to finish the church after the donation of funds?,android_dyn_experiment_frames/avs_v_vs.csv
5,"In what year was Edna Healey's biography ""Emma Darwin: The inspirational wife of a genius"" published, and how many pages does it contain?",android_dyn_experiment_frames/avs4_v_avs2p2.csv
6,"What significant event took place on 6 July 1920 at the King's Buildings campus, and which department did the first new building house?",android_dyn_experiment_frames/avs4_v_avs2p2.csv
7,"What are the different types of medals awarded by the Society, and how do their values differ based on the specific context within the documents?",android_dyn_experiment_frames/avs4p2_v_avs2p2p2.csv
8,How did the establishment of the Royal Society of Edinburgh in 1783 contribute to the development of scientific institutions like Edinburgh University?,android_dyn_experiment_frames/avs4p2_v_avs2p2p2.csv
9,How did the establishment of the Royal Society of Edinburgh in 1783 contribute to the development of scientific institutions like Edinburgh University?,android_dyn_experiment_frames/avs6_v_avs2p2p2.csv
10,What was the original purpose of the monastery on the site before the 11th century?,android_dyn_experiment_frames/avs_v_pg.csv
11,"According to the text, how did the monks of Westminster Abbey avoid being ejected under Elizabeth I?",android_dyn_experiment_frames/avs_v_pg.csv
12,"Darwin's observations about the shells on the Galapagos Islands, especially the varying shapes of tortoise shells, initially led him to believe that the atolls of the Cocos Islands had formed due to what process?",android_dyn_experiment_frames/avs_v_pg.csv
13,Where can one find Emma Darwin's diaries from the years 1824 to 1896 according to the context provided?,android_dyn_experiment_frames/avs_v_pg.csv
14,- 1. The Wedgwood family relocated to Down House after what event?,android_dyn_experiment_frames/avs_v_pg.csv
15,"What was the primary motivation behind Darwin’s research, as outlined in the passage?",android_dyn_experiment_frames/avs_v_pg.csv
16,What was the primary reason for the proposed construction of a corona around the lantern?,android_dyn_experiment_frames/avs_v_pg.csv
